AcademicYear,Event Name,EventLocation,Month,DayOfWeek,Time,Semester,StudentDiscipline,StudentYear,EventType,EventOrganizer,CompanyIndustry
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,MECH,Grad,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,MECH,Grad,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,Other,3,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,INDY,Grad,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,INDY,3,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,INDY,3,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,Other,3,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,Track one,3,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,Other,3,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,MSE,3,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,ECE,3,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,EngSci,Grad,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,INDY,2,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,INDY,2,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,EngSci,4,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,MECH,3,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,MECH,Grad,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,MECH,Grad,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,ECE,Grad,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,Track one,1,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,CHEM,3,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,ECE,3,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,ECE,3,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,INDY,2,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,EngSci,2,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,Other,3,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,ECE,2,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,MECH,2,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,CIBC AI / Data Info Session,"Sandford Fleming Building, Room 1105",February,4,6:30 PM,Winter,ECE,2,Seminar/ Q&A,CIBC,Finance/ Banking
2022/2023,Success in the Workplace w/ TribalScale,"Sandford Fleming Building, Room 1101",February,3,6:30 PM,Winter,EngSci,2,Seminar/ Q&A,TribalScale,Tech
2022/2023,Success in the Workplace w/ TribalScale,"Sandford Fleming Building, Room 1101",February,3,6:30 PM,Winter,ECE,2,Seminar/ Q&A,TribalScale,Tech
2022/2023,Success in the Workplace w/ TribalScale,"Sandford Fleming Building, Room 1101",February,3,6:30 PM,Winter,Other,4,Seminar/ Q&A,TribalScale,Tech
2022/2023,Success in the Workplace w/ TribalScale,"Sandford Fleming Building, Room 1101",February,3,6:30 PM,Winter,CHEM,Grad,Seminar/ Q&A,TribalScale,Tech
2022/2023,Success in the Workplace w/ TribalScale,"Sandford Fleming Building, Room 1101",February,3,6:30 PM,Winter,ECE,4,Seminar/ Q&A,TribalScale,Tech
2022/2023,Success in the Workplace w/ TribalScale,"Sandford Fleming Building, Room 1101",February,3,6:30 PM,Winter,EngSci,1,Seminar/ Q&A,TribalScale,Tech
2022/2023,Success in the Workplace w/ TribalScale,"Sandford Fleming Building, Room 1101",February,3,6:30 PM,Winter,CHEM,4,Seminar/ Q&A,TribalScale,Tech
2022/2023,Success in the Workplace w/ TribalScale,"Sandford Fleming Building, Room 1101",February,3,6:30 PM,Winter,MECH,4,Seminar/ Q&A,TribalScale,Tech
2022/2023,Success in the Workplace w/ TribalScale,"Sandford Fleming Building, Room 1101",February,3,6:30 PM,Winter,CIV,4,Seminar/ Q&A,TribalScale,Tech
2022/2023,Success in the Workplace w/ TribalScale,"Sandford Fleming Building, Room 1101",February,3,6:30 PM,Winter,INDY,4,Seminar/ Q&A,TribalScale,Tech
2022/2023,Success in the Workplace w/ TribalScale,"Sandford Fleming Building, Room 1101",February,3,6:30 PM,Winter,INDY,4,Seminar/ Q&A,TribalScale,Tech
2022/2023,Success in the Workplace w/ TribalScale,"Sandford Fleming Building, Room 1101",February,3,6:30 PM,Winter,INDY,4,Seminar/ Q&A,TribalScale,Tech
2022/2023,Success in the Workplace w/ TribalScale,"Sandford Fleming Building, Room 1101",February,3,6:30 PM,Winter,ECE,2,Seminar/ Q&A,TribalScale,Tech
